R2,RMSE_bps,MAE_bps,Bias_bps,MaxErr_bps,Hit10bps,Model,Maturity
0.9910113327599148,7.471755203975973,5.664255198233023,2.769060012290536,24.799846678101105,86.66666666666667,Base CIR,6M
0.9563193794731837,15.089737473429619,11.500403534961759,6.069355765303584,48.36670906447425,55.35353535353536,Base CIR,9M
0.8874895325460236,22.074690894132313,16.726838981061025,8.189774725232025,66.00682967914099,42.42424242424242,Base CIR,1Y
0.2811224653373242,39.65515784569314,30.465563802961007,10.25135833050865,102.5369407817326,28.08080808080808,Base CIR,2Y
0.964871789966118,24.2040844935493,16.0892653793042,6.819887208333698,60.427581550862236,53.131313131313135,Base CIR,Overall
0.9896497701165997,8.017703302855589,6.582737733612164,-4.015486742120542,21.8568910311983,74.74747474747475,CIR++,6M
0.9487925147211862,16.33819250622698,13.544315594657748,-8.722008757122936,41.906780963522664,39.5959595959596,CIR++,9M
0.8620233737209319,24.445612725661302,20.407133086769893,-13.317973325982264,60.99237814254123,23.636363636363637,CIR++,1Y
-0.03168127900706086,47.50562124958679,40.95233149926015,-28.095246113227805,114.63310464212708,9.292929292929292,CIR++,2Y
0.9522460963451175,28.220525032613047,20.371629478574988,-13.537678734613387,59.84728869484732,36.81818181818182,CIR++,Overall
0.991690422461129,7.183969097284815,5.392989126196457,1.8574120475385416,23.888198713340678,87.07070707070706,CIR-J,6M
0.9598960094200829,14.458761008620924,10.82871759969139,4.265286894610721,46.56264019377486,57.17171717171718,CIR-J,9M
0.8959605802305147,21.227415813583445,15.836644632969579,5.512133353019781,63.329188306923896,43.83838383838384,CIR-J,1Y
0.32086624379263995,38.54338789743742,30.11938004261599,4.2604641139593245,96.54604656517692,26.464646464646464,CIR-J,2Y
0.9670677570609074,23.435342512059954,15.544432850368352,3.973824102282092,57.58151844480409,53.63636363636364,CIR-J,Overall
